itemID,CDI_item,field,CDI_part
i_1_1,baa_baa,1,sound_effects
i_1_2,choo_choo,1,sound_effects
i_1_3,cockadoodledoo,1,sound_effects
i_1_4,grr,1,sound_effects
i_1_5,meow,1,sound_effects
i_1_6,moo,1,sound_effects
i_1_7,ouch,1,sound_effects
i_1_8,quack_quack,1,sound_effects
i_1_9,uhoh,1,sound_effects
i_1_10,vroom,1,sound_effects
i_1_11,woof_woof,1,sound_effects
i_1_12,yum_yum,1,sound_effects
i_2_1,alligator,2,animals
i_2_2,animal,2,animals
i_2_3,ant,2,animals
i_2_4,bear,2,animals
i_2_5,bee,2,animals
i_2_6,bird,2,animals
i_2_7,bunny,2,animals
i_2_8,butterfly,2,animals
i_2_9,cat,2,animals
i_2_10,chicken,2,animals
i_2_11,cow,2,animals
i_2_12,deer,2,animals
i_2_13,dog,2,animals
i_2_14,donkey,2,animals
i_2_15,duck,2,animals
i_2_16,elephant,2,animals
i_2_17,fish,2,animals
i_2_18,frog,2,animals
i_2_19,giraffe,2,animals
i_2_20,goose,2,animals
i_2_21,hen,2,animals
i_2_22,horse,2,animals
i_2_23,insect,2,animals
i_2_24,lamb,2,animals
i_2_25,lion,2,animals
i_2_26,monkey,2,animals
i_2_27,moose,2,animals
i_2_28,mouse,2,animals
i_2_29,owl,2,animals
i_2_30,penguin,2,animals
i_2_31,pig,2,animals
i_2_32,pony,2,animals
i_2_33,possum,2,animals
i_2_34,puppy,2,animals
i_2_35,rooster,2,animals
i_2_36,sheep,2,animals
i_2_37,teddybear,2,animals
i_2_38,tiger,2,animals
i_2_39,turkey,2,animals
i_2_40,turtle,2,animals
i_2_41,wolf,2,animals
i_2_42,zebra,2,animals
i_3_1,aeroplane,3,vehicles
i_3_2,bike,3,vehicles
i_3_3,boat,3,vehicles
i_3_4,bus,3,vehicles
i_3_5,car,3,vehicles
i_3_6,fire_engine,3,vehicles
i_3_7,helicopter,3,vehicles
i_3_8,motorbike,3,vehicles
i_3_9,pushchair,3,vehicles
